dist,expr,repKO,rep,size,relcen,pos,cell,ori,genrep,type,Legend:,,
1.958,1,0,1,955.998,0.29847561,2,1,0,1,4,dist,absolute distance (µm) of FISH signal to nuclear border,
0.083,0,0,1,1171.993,0.011874106,1,10,0,1,1,expr,Meg3/Gtl2 expression state,"0=nonexpressed, 1=expressed"
0.18,0,0,1,1015.825,0.031512605,3,5,0,1,1,repKO,genotype of ES cell line,"0=matrepKO, 1=patrepKO, 2=wt1, 3=matIGDMRKO, 4=Zfp57KO, 6=wt2"
0.224,0,0,1,1236.128,0.035120728,3,16,0,1,1,rep,biological replicate,
0.242,0,0,1,1042.051,0.030543986,10,4,0,1,1,size,nuclear volume (µm^3),
0.265,0,0,1,892.541,0.06643269,3,8,0,1,1,relcen,relative distance to nuclear border,
0.298,0,0,1,1195.495,0.045110506,3,4,0,1,1,pos,microscopic image stack,
0.316,0,0,1,1252.538,0.039929239,1,6,0,1,1,cell,cell per image stack,
0.399,0,0,1,988.12,0.063575526,2,12,0,1,1,ori,parental origin/pretend parental origin in mutants,"0=pat, 1=mat, 2=both"
0.441,0,0,1,683.397,0.089307412,3,2,0,1,1,genrep,"all biological replicates, independent of genotype, numbered",
0.477,0,0,1,1355.291,0.071934851,6,8,0,1,1,type,types of repression and activation as used in figure 5,
0.518,0,0,1,1692.685,0.052286262,9,4,0,1,1,,,
0.52,0,0,1,1486.786,0.073322053,9,11,0,1,1,,,
0.536,0,0,1,1313.809,0.072285907,5,6,0,1,1,,,
0.578,0,0,1,1749.416,0.05559296,9,18,0,1,1,,,
0.579,0,0,1,925.958,0.103614889,3,9,0,1,1,,,
0.621,0,0,1,743.507,0.083964305,9,10,0,1,1,,,
0.629,0,0,1,662.959,0.121828394,6,10,0,1,1,,,
0.703,0,0,1,745.026,0.125267284,5,5,0,1,1,,,
0.711,0,0,1,944.667,0.117871353,10,6,0,1,1,,,
0.717,0,0,1,1384.405,0.136389576,2,7,0,1,1,,,
0.761,0,0,1,731.71,0.103200434,3,19,0,1,1,,,
0.849,0,0,1,1037.771,0.15144488,6,7,0,1,1,,,
0.893,0,0,1,2315.695,0.132413998,6,5,0,1,1,,,
0.899,0,0,1,1394.88,0.098531346,3,13,0,1,1,,,
0.916,0,0,1,1183.937,0.080350877,1,3,0,1,1,,,
0.939,0,0,1,1651.484,0.11301679,2,8,0,1,1,,,
0.954,0,0,1,1674.329,0.099333611,1,5,0,1,1,,,
0.982,0,0,1,662.788,0.167234332,10,10,0,1,1,,,
1.02,0,0,1,971.657,0.119830827,3,7,0,1,1,,,
1.033,0,0,1,1214.61,0.135315693,1,8,0,1,1,,,
1.078,0,0,1,627.057,0.122527847,6,3,0,1,1,,,
1.088,0,0,1,1423.299,0.117380516,2,5,0,1,1,,,
1.095,0,0,1,1146.55,0.133292757,10,1,0,1,1,,,
1.137,0,0,1,1020.553,0.1692468,3,3,0,1,1,,,
1.176,0,0,1,693.183,0.216494845,3,20,0,1,1,,,
1.211,0,0,1,1274.251,0.149119567,5,4,0,1,1,,,
1.217,0,0,1,1310.683,0.132426551,1,11,0,1,1,,,
1.303,0,0,1,1327.771,0.191871595,5,7,0,1,1,,,
1.309,0,0,1,1385.799,0.216435185,3,15,0,1,1,,,
1.32,0,0,1,1427.13,0.181793141,1,12,0,1,1,,,
1.3255,0,0,1,785.408,0.193461286,9,9,0,1,1,,,
1.342,0,0,1,737.993,0.226306914,6,6,0,1,1,,,
1.359,0,0,1,1850.857,0.155670103,9,8,0,1,1,,,
1.378,0,0,1,1076.246,0.18122041,2,3,0,1,1,,,
1.466,0,0,1,1005.504,0.22269482,3,17,0,1,1,,,
1.469,0,0,1,1107.518,0.252709444,5,1,0,1,1,,,
1.495,0,0,1,1566.779,0.181917742,10,11,0,1,1,,,
1.496,0,0,1,1207.083,0.392136304,3,14,0,1,1,,,
1.5,0,0,1,1495.997,0.191864927,2,2,0,1,1,,,
1.504,0,0,1,1294.749,0.167390095,10,5,0,1,1,,,
1.504,0,0,1,1603.692,0.219401896,9,12,0,1,1,,,
1.515,0,0,1,1579.203,0.266772319,9,14,0,1,1,,,
1.519,0,0,1,1119.005,0.239968404,10,3,0,1,1,,,
1.561,0,0,1,831.653,0.245826772,3,18,0,1,1,,,
1.587,0,0,1,1805.13,0.165278067,2,6,0,1,1,,,
1.606,0,0,1,1438.005,0.166097838,9,15,0,1,1,,,
1.609,0,0,1,905.028,0.223720801,6,12,0,1,1,,,
1.821,0,0,1,1498.955,0.257858963,2,9,0,1,1,,,
1.844,0,0,1,1032.801,0.256146687,6,11,0,1,1,,,
1.874,0,0,1,1406.046,0.233345785,3,1,0,1,1,,,
1.938,0,0,1,1858.078,0.198362334,10,8,0,1,1,,,
1.96,0,0,1,1832.55,0.207341585,9,2,0,1,1,,,
1.985,0,0,1,1360.475,0.28397711,5,11,0,1,1,,,
1.988,0,0,1,1208.035,0.211174846,1,9,0,1,1,,,
2.016,0,0,1,1183.082,0.238072744,9,20,0,1,1,,,
2.023,0,0,1,1496.972,0.286991063,9,19,0,1,1,,,
2.043,0,0,1,1493.702,0.225,5,8,0,1,1,,,
2.059,0,0,1,1877.47,0.259483302,9,6,0,1,1,,,
2.093,0,0,1,821.825,0.2484273,1,4,0,1,1,,,
2.113,0,0,1,1211.827,0.29610426,5,2,0,1,1,,,
2.135,0,0,1,848.834,0.446185998,2,11,0,1,1,,,
2.194,0,0,1,1003.092,0.40205241,2,10,0,1,1,,,
2.251,0,0,1,1468.983,0.241886955,2,4,0,1,1,,,
2.276,0,0,1,925.741,0.359614473,10,7,0,1,1,,,
2.281,0,0,1,986.5,0.358253495,3,6,0,1,1,,,
2.29,0,0,1,1061.104,0.333624709,1,13,0,1,1,,,
2.375,0,0,1,979.748,0.304643407,5,9,0,1,1,,,
2.426,0,0,1,1462.734,0.369085653,1,15,0,1,1,,,
2.489,0,0,1,1019.826,0.395267588,3,12,0,1,1,,,
2.495,0,0,1,1309.939,0.342061969,2,13,0,1,1,,,
2.522,0,0,1,879.245,0.391736564,5,10,0,1,1,,,
2.568,0,0,1,1524.245,0.300984529,9,3,0,1,1,,,
2.587,0,0,1,1469.088,0.232059562,6,2,0,1,1,,,
2.618,0,0,1,1628.204,0.34652548,1,1,0,1,1,,,
2.76,0,0,1,1214.72,0.36809816,1,16,0,1,1,,,
2.777,0,0,1,1094.72,0.388228715,1,7,0,1,1,,,
2.82,0,0,1,2034.924,0.472916317,10,12,0,1,1,,,
2.846,0,0,1,1185.181,0.484178292,9,7,0,1,1,,,
3.261,0,0,1,1203.019,0.361529933,9,5,0,1,1,,,
3.273,0,0,1,1356.254,0.493516285,10,13,0,1,1,,,
3.291,0,0,1,1172.263,0.594150569,1,14,0,1,1,,,
3.302,0,0,1,1047.628,0.469768104,3,11,0,1,1,,,
3.303,0,0,1,1308.573,0.554287632,9,1,0,1,1,,,
3.36,0,0,1,2051.691,0.393580883,9,13,0,1,1,,,
3.379,0,0,1,2228.247,0.266377611,1,2,0,1,1,,,
3.663,0,0,1,1530.9,0.636711281,5,3,0,1,1,,,
4.028,0,0,1,1255.699,0.588888889,6,9,0,1,1,,,
4.26,0,0,1,1648.874,0.65568724,9,17,0,1,1,,,
4.388,0,0,1,1202.455,0.725889165,6,1,0,1,1,,,
3.0655,1,0,2,1382.854,0.377524631,1,7,0,1,4,,,
-0.268,0,0,2,947.105,-0.050989346,11,20,0,2,1,,,
0.056,0,0,2,694.616,0.009120521,12,5,0,2,1,,,
0.066,0,0,2,1121.315,0.007303309,16,15,0,2,1,,,
0.124,0,0,2,1098.051,0.018286388,16,12,0,2,1,,,
0.227,0,0,2,1610.88,0.023234391,9,11,0,2,1,,,
0.25,0,0,2,1342.793,0.035501278,15,8,0,2,1,,,
0.264,0,0,2,651.27,0.045462373,19,4,0,2,1,,,
0.293,0,0,2,1046.189,0.075808538,11,22,0,2,1,,,
0.3,0,0,2,893.753,0.040252247,16,7,0,2,1,,,
0.35,0,0,2,944.635,0.059463133,12,2,0,2,1,,,
0.361,0,0,2,1114.439,0.05843315,19,7,0,2,1,,,
0.392,0,0,2,706.104,0.066015493,1,4,0,2,1,,,
0.404,0,0,2,660.229,0.07767737,12,9,0,2,1,,,
0.405,0,0,2,1671.341,0.045861171,11,10,0,2,1,,,
0.422,0,0,2,782.77,0.060885875,19,6,0,2,1,,,
0.4225,0,0,2,433.011,0.086259698,1,8,0,2,1,,,
0.525,0,0,2,485.9,0.109763747,1,2,0,2,1,,,
0.591,0,0,2,1064.904,0.059546599,5,7,0,2,1,,,
0.669,0,0,2,1262.532,0.065536834,16,3,0,2,1,,,
0.675,0,0,2,1254.559,0.084206587,5,5,0,2,1,,,
0.71,0,0,2,682.126,0.114092881,16,16,0,2,1,,,
0.746,0,0,2,825.283,0.0961712,12,3,0,2,1,,,
0.764,0,0,2,1050.082,0.152830566,5,8,0,2,1,,,
0.872,0,0,2,922.066,0.148400272,11,14,0,2,1,,,
0.955,0,0,2,1094.147,0.134677761,16,2,0,2,1,,,
0.967,0,0,2,1165.528,0.159808296,9,8,0,2,1,,,
0.97,0,0,2,496.031,0.151090343,1,11,0,2,1,,,
0.998,0,0,2,317.388,0.265566791,1,9,0,2,1,,,
1.026,0,0,2,1307.346,0.108709472,16,9,0,2,1,,,
1.036,0,0,2,561.983,0.199001153,1,6,0,2,1,,,
1.041,0,0,2,938.198,0.173182499,15,7,0,2,1,,,
1.048,0,0,2,915.138,0.166958738,12,8,0,2,1,,,
1.05,0,0,2,831.628,0.180691791,12,4,0,2,1,,,
1.081,0,0,2,1190.216,0.203386642,11,12,0,2,1,,,
1.086,0,0,2,1318.793,0.111797406,19,2,0,2,1,,,
1.111,0,0,2,1241.213,0.211016144,11,11,0,2,1,,,
1.133,0,0,2,1165.31,0.157142857,16,1,0,2,1,,,
1.152,0,0,2,970.053,0.140951915,15,2,0,2,1,,,
1.179,0,0,2,441.825,0.301303348,19,5,0,2,1,,,
1.182,0,0,2,1045.848,0.169002002,19,10,0,2,1,,,
1.195,0,0,2,1138.159,0.119297195,15,4,0,2,1,,,
1.224,0,0,2,1014.101,0.135054618,16,4,0,2,1,,,
1.228,0,0,2,1136.937,0.162670552,15,5,0,2,1,,,
1.286,0,0,2,969.998,0.240104556,12,1,0,2,1,,,
1.301,0,0,2,629.921,0.195492111,15,9,0,2,1,,,
1.312,0,0,2,1588.885,0.153936407,16,14,0,2,1,,,
1.364,0,0,2,392.055,0.333089133,11,16,0,2,1,,,
1.376,0,0,2,1285.403,0.140150744,11,4,0,2,1,,,
1.439,0,0,2,851.877,0.274095238,11,17,0,2,1,,,
1.448,0,0,2,797.258,0.295148797,1,10,0,2,1,,,
1.54,0,0,2,1180.389,0.133217993,5,9,0,2,1,,,
1.584,0,0,2,978.169,0.218031659,15,6,0,2,1,,,
1.607,0,0,2,1076.305,0.273858214,15,10,0,2,1,,,
1.651,0,0,2,1288.589,0.232240821,9,13,0,2,1,,,
1.654,0,0,2,1261.901,0.320294345,19,12,0,2,1,,,
1.665,0,0,2,1084.279,0.216065404,9,7,0,2,1,,,
1.693,0,0,2,1222.096,0.266572193,5,2,0,2,1,,,
